question,sentence,label,prompt_ent,prompt_con,predict
Is there any collection of blood anywhere in or around sinuses?,Hemorrhagic secretions  are present within the nasal cavity with extension into the right maxillary  sinus.,entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'Hemorrhagic secretions  are present within the nasal cavity with extension into the right maxillary  sinus.'\nQuestion: 'Is there any collection of blood anywhere in or around sinuses?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'Hemorrhagic secretions  are present within the nasal cavity with extension into the right maxillary  sinus.'\nQuestion: 'Is there any collection of blood anywhere in or around sinuses?'""}]",Entailment
Are the portal veins patent?,"Within this limitation, the portal vein is noted to be patent;   however, waveforms were not well evaluated.",not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'Within this limitation, the portal vein is noted to be patent;   however, waveforms were not well evaluated.'\nQuestion: 'Are the portal veins patent?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'Within this limitation, the portal vein is noted to be patent;   however, waveforms were not well evaluated.'\nQuestion: 'Are the portal veins patent?'""}]",Entailment
Do we see any right upper lobe opacity on the lateral view of chest x ray?,IMPRESSION:  Persistent right upper lobe opacity.,entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'IMPRESSION:  Persistent right upper lobe opacity.'\nQuestion: 'Do we see any right upper lobe opacity on the lateral view of chest x ray?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'IMPRESSION:  Persistent right upper lobe opacity.'\nQuestion: 'Do we see any right upper lobe opacity on the lateral view of chest x ray?'""}]",Not entailment
Is there any evidence of bleeding in the chest cavity?,Colonic diverticulosis without evidence of diverticuliltis.,not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'Colonic diverticulosis without evidence of diverticuliltis.'\nQuestion: 'Is there any evidence of bleeding in the chest cavity?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'Colonic diverticulosis without evidence of diverticuliltis.'\nQuestion: 'Is there any evidence of bleeding in the chest cavity?'""}]",Not entailment
Do the lungs show any more infiltrates post extubation?,"There is  interval improvement in the bilateral lung opacity, most marked in the right  lung base.",entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'There is  interval improvement in the bilateral lung opacity, most marked in the right  lung base.'\nQuestion: 'Do the lungs show any more infiltrates post extubation?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'There is  interval improvement in the bilateral lung opacity, most marked in the right  lung base.'\nQuestion: 'Do the lungs show any more infiltrates post extubation?'""}]",Not entailment
what is the location of vagal nerve stimulator cable?,AP and lateral views to assess vagal nerve stimulator cable.,not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'AP and lateral views to assess vagal nerve stimulator cable.'\nQuestion: 'what is the location of vagal nerve stimulator cable?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'AP and lateral views to assess vagal nerve stimulator cable.'\nQuestion: 'what is the location of vagal nerve stimulator cable?'""}]",Not entailment
How are the veins of the lower extremity?,The grayscale ultrasound of the veins of the upper extremities demonstrated  filling defect in the right cephalic vein at the level of the antecubital  fossa consistent with thrombus.,not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'The grayscale ultrasound of the veins of the upper extremities demonstrated  filling defect in the right cephalic vein at the level of the antecubital  fossa consistent with thrombus.'\nQuestion: 'How are the veins of the lower extremity?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'The grayscale ultrasound of the veins of the upper extremities demonstrated  filling defect in the right cephalic vein at the level of the antecubital  fossa consistent with thrombus.'\nQuestion: 'How are the veins of the lower extremity?'""}]",Not entailment
Is there any evidence of bleeding in the chest cavity?,FINDINGS:   CT OF THE CHEST WITH IV CONTRAST: There is good opacification of the thoracic  and abdominal aorta.,not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'FINDINGS:   CT OF THE CHEST WITH IV CONTRAST: There is good opacification of the thoracic  and abdominal aorta.'\nQuestion: 'Is there any evidence of bleeding in the chest cavity?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'FINDINGS:   CT OF THE CHEST WITH IV CONTRAST: There is good opacification of the thoracic  and abdominal aorta.'\nQuestion: 'Is there any evidence of bleeding in the chest cavity?'""}]",Not entailment
Which lobes of the lungs have infiltrates ?,There is no  interval change in the positions of the pacemaker leads.,not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'There is no  interval change in the positions of the pacemaker leads.'\nQuestion: 'Which lobes of the lungs have infiltrates ?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'There is no  interval change in the positions of the pacemaker leads.'\nQuestion: 'Which lobes of the lungs have infiltrates ?'""}]",Not entailment
Is there any difference in the infiltrates?,This corresponds to improved pulmonary edema.,entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'This corresponds to improved pulmonary edema.'\nQuestion: 'Is there any difference in the infiltrates?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'This corresponds to improved pulmonary edema.'\nQuestion: 'Is there any difference in the infiltrates?'""}]",Not entailment
